Address,Year_Built,Story_Number,Unit_Number,Evaluation_Score,Parking_Area,Elevator_Maintenance,Building_Cleanliness,Windows
263 Toronto Road,1849,48,625,22,3,1,0,0
264 Toronto Road,1962,6,416,35,1,2,1,0
265 Toronto Road,1906,16,584,70,0,1,2,2
266 Toronto Road,1887,22,318,35,3,2,1,3
267 Toronto Road,1990,31,325,66,3,1,2,3
268 Toronto Road,2006,46,283,0,2,1,1,2
269 Toronto Road,1908,15,429,86,0,3,3,3
270 Toronto Road,1951,30,391,10,0,3,1,0
271 Toronto Road,1922,51,188,100,0,0,3,1
272 Toronto Road,2000,37,239,79,2,1,0,1
273 Toronto Road,1894,30,649,9,3,3,0,1
274 Toronto Road,1931,46,423,24,2,1,2,2
275 Toronto Road,1943,21,615,6,0,2,0,1
276 Toronto Road,1956,30,368,72,2,3,1,0
277 Toronto Road,1925,30,282,45,2,1,2,2
278 Toronto Road,1989,34,344,68,2,0,3,0
279 Toronto Road,1955,46,60,91,3,3,1,3
280 Toronto Road,1877,46,617,62,0,0,1,2
281 Toronto Road,1900,38,177,81,1,0,0,1
282 Toronto Road,1867,8,400,0,0,2,0,0
283 Toronto Road,2009,49,199,55,2,2,1,2
284 Toronto Road,1922,11,102,67,3,0,2,3
285 Toronto Road,1950,51,706,93,2,2,1,2
286 Toronto Road,2012,39,108,75,2,1,3,1
287 Toronto Road,1901,42,330,64,1,2,3,3
288 Toronto Road,2003,12,342,87,3,2,1,2
289 Toronto Road,1876,31,291,72,3,3,0,3
290 Toronto Road,1980,11,338,7,1,1,0,2
291 Toronto Road,1943,51,589,53,0,3,0,2
292 Toronto Road,1963,42,520,97,0,1,0,1
293 Toronto Road,1918,23,557,49,0,0,0,2
294 Toronto Road,1963,43,316,37,3,0,0,1
295 Toronto Road,2009,44,287,75,1,2,2,1
296 Toronto Road,1979,31,405,12,3,2,3,3
297 Toronto Road,1939,36,110,60,1,0,1,3
298 Toronto Road,1922,8,539,38,1,0,3,1
299 Toronto Road,1888,34,211,92,3,0,3,1
300 Toronto Road,1943,3,703,99,3,3,2,0
301 Toronto Road,1907,48,25,88,1,1,2,3
302 Toronto Road,1914,6,118,32,0,0,1,3
303 Toronto Road,1997,45,244,8,1,2,2,1
304 Toronto Road,1840,33,217,51,3,1,2,1
305 Toronto Road,2016,4,555,15,2,2,0,3
306 Toronto Road,1881,51,378,62,2,0,3,1
307 Toronto Road,1842,8,148,40,2,0,1,2
308 Toronto Road,1983,23,607,71,0,1,3,3
309 Toronto Road,1923,3,498,31,2,2,0,1
310 Toronto Road,2007,26,611,38,2,0,1,2
311 Toronto Road,1987,33,126,92,2,3,1,1
312 Toronto Road,1923,33,299,74,2,0,1,1
313 Toronto Road,1866,24,702,27,3,2,2,1
314 Toronto Road,1956,15,509,29,1,3,2,0
315 Toronto Road,1932,29,175,59,3,2,2,3
316 Toronto Road,1998,12,384,25,1,3,3,2
317 Toronto Road,1900,22,305,76,1,3,2,0
318 Toronto Road,1992,24,491,8,2,1,3,1
319 Toronto Road,1942,25,487,34,1,1,1,1
320 Toronto Road,1909,49,125,34,3,3,2,1
321 Toronto Road,1980,42,156,22,1,0,3,3
322 Toronto Road,1959,39,575,79,0,2,3,1
323 Toronto Road,2011,50,541,94,0,0,3,3
324 Toronto Road,1888,23,564,39,3,2,0,0
325 Toronto Road,1919,27,480,12,2,0,3,1
326 Toronto Road,2023,51,77,33,1,0,0,2
327 Toronto Road,1953,7,142,43,2,1,1,0
328 Toronto Road,1913,29,531,30,2,3,1,0
329 Toronto Road,1873,18,92,54,3,3,2,3
330 Toronto Road,1998,39,362,70,1,3,0,3
331 Toronto Road,2011,12,312,76,3,3,1,1
332 Toronto Road,1852,40,507,56,2,3,2,3
333 Toronto Road,1879,12,510,54,1,0,1,0
334 Toronto Road,1878,30,223,93,2,2,2,3
335 Toronto Road,1904,26,471,27,1,3,2,1
336 Toronto Road,1949,20,109,72,0,3,2,3
337 Toronto Road,1860,12,628,95,1,3,3,0
338 Toronto Road,1903,11,704,86,0,1,0,1
339 Toronto Road,1927,10,608,47,2,0,3,3
340 Toronto Road,1951,9,658,33,0,0,2,2
341 Toronto Road,1892,10,577,60,0,3,2,1
342 Toronto Road,1853,10,700,70,2,1,0,2
343 Toronto Road,1900,42,480,16,3,3,1,0
344 Toronto Road,1895,30,572,29,2,1,1,0
345 Toronto Road,1849,7,86,79,1,0,3,3
346 Toronto Road,1972,13,291,25,0,2,0,0
347 Toronto Road,1889,10,399,10,0,3,0,2
348 Toronto Road,1843,24,662,5,2,2,2,1
349 Toronto Road,1881,11,496,17,3,0,0,2
350 Toronto Road,1861,38,453,66,2,3,0,0
351 Toronto Road,1879,42,86,75,2,1,0,1
352 Toronto Road,1941,38,261,24,2,3,2,2
353 Toronto Road,1935,34,87,85,1,3,2,3
354 Toronto Road,1850,19,399,29,3,1,3,2
355 Toronto Road,1848,7,429,10,0,2,3,1
356 Toronto Road,1960,43,640,44,2,3,3,3
357 Toronto Road,2001,12,116,14,1,3,2,1
358 Toronto Road,1940,4,624,60,2,3,3,1
359 Toronto Road,1916,18,164,95,2,3,2,3
360 Toronto Road,2020,39,241,5,3,1,1,1
361 Toronto Road,1893,30,302,54,3,0,1,1
362 Toronto Road,2014,5,163,34,2,2,3,1
363 Toronto Road,1941,26,654,53,3,3,0,2
364 Toronto Road,1921,39,186,49,2,1,2,1
365 Toronto Road,1842,12,315,11,1,2,2,1
366 Toronto Road,1866,13,192,13,1,1,0,0
367 Toronto Road,1933,4,568,82,1,1,3,0
368 Toronto Road,1854,46,53,14,1,3,0,0
369 Toronto Road,1913,40,659,85,3,1,2,1
370 Toronto Road,1934,41,407,89,0,0,0,2
371 Toronto Road,1888,16,112,9,0,0,0,1
372 Toronto Road,1974,19,461,18,3,0,3,2
373 Toronto Road,1927,43,665,3,0,2,0,1
374 Toronto Road,1909,16,134,45,0,3,0,3
375 Toronto Road,1976,30,517,18,0,2,2,3
376 Toronto Road,1899,16,579,34,0,1,2,1
377 Toronto Road,1879,27,596,17,1,0,0,1
378 Toronto Road,2012,29,193,11,0,3,0,3
379 Toronto Road,1935,49,386,53,2,2,3,0
380 Toronto Road,1874,21,223,57,0,3,3,3
381 Toronto Road,1951,7,678,67,3,0,2,0
382 Toronto Road,1946,4,37,29,2,1,0,3
383 Toronto Road,1952,31,178,7,1,3,0,3
384 Toronto Road,1933,17,520,41,1,3,0,0
385 Toronto Road,1947,17,709,44,1,2,3,1
386 Toronto Road,1907,19,270,90,1,0,0,3
387 Toronto Road,1851,3,10,13,0,3,3,1
388 Toronto Road,1957,3,643,95,0,2,3,2
389 Toronto Road,1918,15,382,99,2,1,1,3
390 Toronto Road,1935,38,243,16,0,3,0,0
391 Toronto Road,1940,22,102,35,0,0,1,3
392 Toronto Road,1975,36,228,11,3,1,3,0
393 Toronto Road,1859,51,604,20,0,2,1,1
394 Toronto Road,1868,32,589,29,1,0,2,0
395 Toronto Road,1989,3,33,70,3,3,3,0
396 Toronto Road,1934,13,680,39,1,1,2,2
397 Toronto Road,1913,6,526,30,2,0,0,0
398 Toronto Road,1924,23,256,46,3,3,3,3
399 Toronto Road,1981,30,503,37,3,3,1,2
400 Toronto Road,1887,34,504,73,1,0,0,1
401 Toronto Road,1857,3,477,30,1,1,2,2
402 Toronto Road,1928,3,94,87,1,3,0,3
403 Toronto Road,2003,22,105,87,3,0,2,3
404 Toronto Road,1941,23,468,83,2,0,2,2
405 Toronto Road,1910,45,154,77,2,0,0,1
406 Toronto Road,1997,40,679,77,1,3,2,2
407 Toronto Road,1884,4,498,45,1,3,1,0
408 Toronto Road,1840,38,295,19,0,0,1,1
409 Toronto Road,1892,42,592,10,1,1,3,2
410 Toronto Road,2000,13,288,3,0,1,2,1
411 Toronto Road,1919,45,713,93,3,1,0,3
412 Toronto Road,1894,4,137,15,3,1,1,2
413 Toronto Road,1849,9,219,99,2,0,0,1
414 Toronto Road,1895,9,310,52,3,0,1,2
415 Toronto Road,1873,47,94,53,1,3,0,3
416 Toronto Road,1862,8,383,24,1,1,3,0
417 Toronto Road,1920,31,436,62,2,0,2,2
418 Toronto Road,1899,51,503,70,0,2,0,2
419 Toronto Road,1934,38,199,86,3,1,1,0
420 Toronto Road,1915,8,68,86,3,0,1,2
421 Toronto Road,1886,35,148,77,3,1,2,0
422 Toronto Road,1871,4,228,72,0,1,1,2
423 Toronto Road,1841,16,233,76,0,2,3,0
424 Toronto Road,1918,23,503,91,2,3,2,0
425 Toronto Road,1986,11,213,28,0,1,2,2
426 Toronto Road,1926,19,540,40,3,2,0,0
427 Toronto Road,2017,15,201,48,2,1,0,1
428 Toronto Road,1929,15,69,99,2,1,2,3
429 Toronto Road,1993,38,578,91,3,2,2,2
430 Toronto Road,1897,15,44,51,3,0,1,0
431 Toronto Road,1980,21,92,81,2,0,0,0
432 Toronto Road,2017,6,386,11,3,3,0,1
433 Toronto Road,1861,15,207,75,2,3,2,2
434 Toronto Road,1990,23,687,40,2,1,0,3
435 Toronto Road,1884,11,712,37,0,0,1,2
436 Toronto Road,1897,46,465,20,3,2,3,0
437 Toronto Road,1983,16,486,30,2,3,1,0
438 Toronto Road,1850,47,42,81,2,3,0,1
439 Toronto Road,1987,15,441,18,2,0,1,0
440 Toronto Road,1975,25,67,10,0,2,3,2
441 Toronto Road,1958,29,394,52,3,0,0,3
442 Toronto Road,1948,41,290,90,1,1,0,3
443 Toronto Road,1889,40,640,71,0,1,0,2
444 Toronto Road,1949,29,413,35,1,0,3,3
445 Toronto Road,1962,6,552,5,2,0,2,0
446 Toronto Road,1882,28,636,52,0,0,1,0
447 Toronto Road,1878,27,118,11,1,1,2,3
448 Toronto Road,1910,46,52,50,0,3,2,2
449 Toronto Road,1865,26,417,97,3,3,3,3
450 Toronto Road,1989,29,377,83,2,3,3,0
451 Toronto Road,1999,25,13,53,0,2,3,2
452 Toronto Road,1866,34,162,18,3,2,1,3
453 Toronto Road,1907,31,146,26,2,2,1,0
454 Toronto Road,1946,45,612,31,2,2,0,1
455 Toronto Road,1939,18,712,96,3,0,0,0
456 Toronto Road,1921,19,195,7,3,3,1,2
457 Toronto Road,1918,19,576,47,0,0,1,3
458 Toronto Road,1979,27,701,40,0,1,2,1
459 Toronto Road,1954,10,28,48,1,0,2,0
460 Toronto Road,1985,47,503,87,3,0,1,0
461 Toronto Road,1966,14,568,95,1,3,3,2
462 Toronto Road,2004,41,167,6,0,3,1,1
463 Toronto Road,1925,44,551,75,1,3,3,1
464 Toronto Road,1860,19,107,54,3,0,2,2
465 Toronto Road,1881,15,82,88,1,3,1,3
466 Toronto Road,1839,9,164,55,1,2,1,0
467 Toronto Road,1895,20,228,33,3,2,3,0
468 Toronto Road,1871,36,155,18,1,3,2,0
469 Toronto Road,1885,28,544,37,2,3,2,3
470 Toronto Road,1895,26,380,99,0,0,3,3
471 Toronto Road,1924,49,583,94,2,2,2,1
472 Toronto Road,1972,12,175,10,2,0,1,1
473 Toronto Road,1944,47,561,51,3,0,0,3
474 Toronto Road,1985,46,311,50,0,2,2,1
475 Toronto Road,1984,19,477,63,1,1,1,2
476 Toronto Road,1928,7,511,59,2,1,3,1
477 Toronto Road,2007,43,200,49,0,1,0,0
478 Toronto Road,1911,33,162,72,3,3,3,3
479 Toronto Road,1920,29,576,20,1,2,0,2
480 Toronto Road,1956,32,360,71,1,0,3,2
481 Toronto Road,1934,38,590,80,2,3,3,3
482 Toronto Road,2021,43,290,36,0,3,2,2
483 Toronto Road,1983,9,541,15,1,0,0,0
484 Toronto Road,1955,4,28,65,0,1,3,1
485 Toronto Road,1860,11,490,61,3,3,0,1
486 Toronto Road,1985,34,422,83,2,1,2,0
487 Toronto Road,1919,23,98,90,1,1,0,3
488 Toronto Road,1938,3,424,100,0,0,1,3
489 Toronto Road,1952,11,634,47,0,2,1,0
490 Toronto Road,2022,4,87,88,0,3,1,1
491 Toronto Road,1933,22,442,71,3,2,1,0
492 Toronto Road,1850,46,337,1,0,2,0,2
493 Toronto Road,1861,37,272,30,3,2,2,3
494 Toronto Road,1934,44,473,85,3,1,1,2
495 Toronto Road,1919,29,67,78,0,1,3,1
496 Toronto Road,2015,11,542,20,2,1,3,3
497 Toronto Road,1906,5,248,92,2,0,0,0
498 Toronto Road,1936,34,630,25,3,3,3,1
499 Toronto Road,1850,24,201,64,3,1,3,1
500 Toronto Road,1920,6,467,12,1,0,0,3
501 Toronto Road,1840,13,158,72,2,0,1,1
502 Toronto Road,1964,23,502,43,1,3,1,0
503 Toronto Road,1887,22,167,27,2,2,0,3
504 Toronto Road,1868,44,63,88,2,1,2,0
505 Toronto Road,1890,11,605,43,3,1,0,2
506 Toronto Road,1910,33,75,80,1,1,0,3
507 Toronto Road,1931,44,422,72,2,0,1,2
508 Toronto Road,2002,25,323,19,0,2,0,3
509 Toronto Road,1887,50,268,61,1,3,3,2
510 Toronto Road,1841,10,221,2,0,3,3,2
511 Toronto Road,1963,22,253,49,2,0,0,2
512 Toronto Road,1978,11,654,85,2,1,2,2
513 Toronto Road,1990,18,202,35,1,3,1,3
514 Toronto Road,2013,12,380,42,0,3,2,1
515 Toronto Road,1984,29,563,17,3,2,1,2
516 Toronto Road,2018,31,229,73,2,3,1,1
517 Toronto Road,1874,35,130,49,0,0,3,0
518 Toronto Road,2014,39,90,72,1,1,0,2
519 Toronto Road,1877,5,184,38,0,1,3,0
520 Toronto Road,1988,47,119,43,2,3,0,2
521 Toronto Road,2002,5,339,99,3,1,2,0
522 Toronto Road,1881,5,446,28,1,1,0,1
523 Toronto Road,2000,35,54,93,2,0,0,1
524 Toronto Road,1864,50,216,11,2,1,1,2
525 Toronto Road,1952,4,310,52,1,2,2,0
526 Toronto Road,1896,8,717,43,0,3,1,1
527 Toronto Road,1954,39,66,79,0,0,2,2
528 Toronto Road,1842,49,693,5,0,2,0,0
529 Toronto Road,2006,34,710,17,0,2,0,2
530 Toronto Road,1903,23,113,34,2,2,1,2
531 Toronto Road,1983,22,350,19,0,2,1,2
532 Toronto Road,1956,23,635,23,1,3,2,1
533 Toronto Road,1846,28,460,42,3,1,2,3
534 Toronto Road,1945,16,267,16,2,1,3,1
535 Toronto Road,1892,9,284,43,0,3,1,0
536 Toronto Road,1888,43,161,9,0,3,1,2
537 Toronto Road,1872,30,64,23,1,3,2,2
538 Toronto Road,2019,34,639,91,1,2,1,3
539 Toronto Road,1850,12,94,82,0,1,1,0
540 Toronto Road,1958,21,141,34,1,0,1,2
541 Toronto Road,1936,18,96,10,2,1,3,3
542 Toronto Road,1986,51,271,5,0,2,3,0
543 Toronto Road,1856,4,648,79,3,2,3,3
544 Toronto Road,1921,15,437,33,3,3,1,1
545 Toronto Road,1990,34,589,41,0,2,1,2
546 Toronto Road,1913,28,323,62,3,1,3,1
547 Toronto Road,1913,36,597,73,2,0,2,3
548 Toronto Road,2021,14,692,23,0,2,1,3
549 Toronto Road,1912,14,145,12,3,0,1,1
550 Toronto Road,1969,41,69,57,2,3,1,0
551 Toronto Road,1884,30,165,88,1,3,1,2
552 Toronto Road,2010,41,464,11,3,2,0,0
553 Toronto Road,1880,22,153,2,2,1,3,0
554 Toronto Road,1961,42,530,56,3,0,1,1
555 Toronto Road,1888,18,675,28,1,3,2,2
556 Toronto Road,2009,48,605,69,3,2,0,3
557 Toronto Road,1894,26,534,25,0,1,0,3
558 Toronto Road,1924,24,644,56,3,3,2,2
559 Toronto Road,1898,23,332,5,0,0,0,3
560 Toronto Road,2008,8,685,69,1,2,0,0
561 Toronto Road,2018,37,233,11,1,0,3,3
562 Toronto Road,1845,31,538,48,2,1,2,2
563 Toronto Road,1984,38,246,28,0,1,3,3
564 Toronto Road,1892,21,717,27,1,1,3,2
565 Toronto Road,1851,45,80,39,2,0,0,3
566 Toronto Road,1942,44,52,72,3,2,3,1
567 Toronto Road,1840,18,450,70,0,1,3,0
568 Toronto Road,1839,13,258,88,0,0,1,2
569 Toronto Road,1987,19,499,66,2,2,3,1
570 Toronto Road,1869,12,296,74,3,2,0,2
571 Toronto Road,2015,15,190,81,1,2,0,1
572 Toronto Road,1926,42,630,80,0,3,1,2
573 Toronto Road,1942,12,546,35,0,2,1,1
574 Toronto Road,2018,38,342,39,0,1,2,1
575 Toronto Road,1844,48,647,73,2,2,2,0
576 Toronto Road,1971,21,503,29,2,3,2,2
577 Toronto Road,1885,33,200,48,1,3,3,0
578 Toronto Road,2014,25,445,86,2,1,3,1
579 Toronto Road,1866,36,406,27,2,0,2,1
580 Toronto Road,1859,48,615,53,3,3,0,2
581 Toronto Road,1917,7,91,63,2,1,1,0
582 Toronto Road,1841,36,618,75,2,1,2,0
583 Toronto Road,1948,42,143,38,0,2,2,1
584 Toronto Road,1893,44,157,52,2,0,1,3
585 Toronto Road,1958,31,191,30,2,0,0,1
586 Toronto Road,1913,10,360,35,3,3,2,2
587 Toronto Road,1852,32,469,70,2,0,0,1
588 Toronto Road,1899,23,317,42,0,0,3,3
589 Toronto Road,1883,41,675,92,0,2,3,3
590 Toronto Road,1850,34,381,7,1,2,3,3
591 Toronto Road,1867,24,53,11,0,3,2,3
592 Toronto Road,1999,20,14,16,0,1,2,3
593 Toronto Road,1939,28,583,0,1,0,1,3
594 Toronto Road,1840,4,458,61,3,3,2,0
595 Toronto Road,1972,4,241,0,0,2,1,3
596 Toronto Road,1904,21,613,80,3,1,3,2
597 Toronto Road,1976,19,542,50,3,3,0,2
598 Toronto Road,1849,23,240,93,2,2,3,0
599 Toronto Road,1995,44,480,79,3,1,0,2
600 Toronto Road,1962,34,565,66,0,2,0,1
601 Toronto Road,1969,38,635,33,2,2,0,3
602 Toronto Road,1913,44,561,73,2,1,1,0
603 Toronto Road,1926,24,106,49,1,3,3,3
604 Toronto Road,1840,46,30,97,2,0,3,2
605 Toronto Road,1988,10,21,5,1,2,2,2
606 Toronto Road,2006,33,301,83,0,3,1,2
607 Toronto Road,1884,28,295,48,1,1,3,0
608 Toronto Road,2011,24,233,6,1,2,3,2
609 Toronto Road,1915,49,626,2,3,0,0,1
610 Toronto Road,1871,35,523,6,0,1,0,1
611 Toronto Road,1911,39,290,47,3,0,3,0
612 Toronto Road,1995,35,147,1,1,1,1,1
613 Toronto Road,1956,21,634,44,1,0,2,0
614 Toronto Road,1903,12,597,58,3,1,0,1
615 Toronto Road,1856,28,552,91,0,3,1,2
616 Toronto Road,1851,37,714,31,0,3,3,0
617 Toronto Road,1924,41,111,65,1,2,1,3
618 Toronto Road,1873,14,480,67,2,0,1,0
619 Toronto Road,1960,39,438,30,3,3,1,2
620 Toronto Road,1870,30,707,96,1,1,1,2
621 Toronto Road,1871,13,508,45,1,2,0,0
622 Toronto Road,1932,11,43,14,0,0,3,0
623 Toronto Road,1980,46,529,44,2,1,0,3
624 Toronto Road,1907,11,322,100,1,1,2,0
625 Toronto Road,1849,19,223,18,1,2,2,3
626 Toronto Road,1943,40,366,48,3,3,0,0
627 Toronto Road,2023,11,323,36,2,0,3,2
628 Toronto Road,1871,29,315,81,3,3,3,3
629 Toronto Road,1960,49,170,56,0,0,2,0
630 Toronto Road,1998,48,352,17,0,3,3,3
631 Toronto Road,1869,44,321,23,1,0,3,3
632 Toronto Road,1907,50,651,68,0,0,3,2
